Species,phylum_Actinobacteria,phylum_Bacteroidetes,phylum_Spirochaetes,phylum_Streptophyta,genus_Selenomonas,genus_Megasphaera,genus_Allisonella,genus_Collinsella,genus_Mitsuokella,genus_Lachnobacterium,genus_Eubacterium,genus_Roseburia,genus_Catenibacterium,genus_Streptococcus,genus_Phascolarctobacterium,genus_Subdoligranulum,genus_Dorea,genus_Lactobacillus,genus_Lachnospira,genus_Olsenella,genus_Corynebacterium,genus_Prevotella,genus_Senegalimassilia
Control,40,461,1,0,0,26,0,4,1,0,7,18,7,930,0,15,16,210,6,4,0,197,4
Control,14,720,1,0,1,3,0,3,1,2,11,18,15,777,3,1,7,487,2,3,0,269,0
Control,223,56,0,0,0,8,0,8,1,0,17,0,19,183,0,2,0,83,0,5,0,11,17
Control,42,27,0,1,0,11,0,1,0,0,11,1,57,533,0,2,5,868,0,2,0,19,8
Control,36,380,0,0,0,12,1,1,1,0,6,3,28,664,0,4,7,168,0,2,0,225,5
Test,39,605,2,23,0,3,4,0,2,0,3,147,24,96,0,6,9,615,16,22,1,197,3
Test,29,848,7,3,4,10,2,11,6,3,34,83,41,67,7,4,15,711,4,4,2,269,3
Control,8,8,0,3,0,1,0,0,2,0,9,1,2,85,0,1,0,11,0,0,0,2,0
Control,13,13,0,0,0,17,0,0,2,0,36,8,6,621,1,2,24,278,1,0,2,1,0
Test,7,15,0,4,0,43,0,0,0,0,98,3,0,1092,1,1,20,896,3,0,0,7,0
Test,60,33,0,117,0,4,0,0,6,0,246,6,7,115,0,9,20,670,0,0,0,15,0